ID,graphml
paf0,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Cl&#233;on"">      <data key=""d0"">Cl&#233;on</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel</data>    </node>    <node id=""Sire"">      <data key=""d0"">Sire</data>    </node>    <node id=""Alban Wellis"">      <data key=""d0"">Alban Wellis</data>    </node>    <node id=""Empereur"">      <data key=""d0"">Empereur</data>    </node>    <node id=""Trantor"">      <data key=""d0"">Trantor</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>  </graph></graphml>"
paf1,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Cl&#233;on Ier"">      <data key=""d0"">Cl&#233;on Ier</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Alem"">      <data key=""d0"">Alem</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Trantorien"">      <data key=""d0"">Trantorien</data>    </node>    <node id=""H&#233;liconien"">      <data key=""d0"">H&#233;liconien</data>    </node>    <node id=""Anacr&#233;on"">      <data key=""d0"">Anacr&#233;on</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <node id=""Trantor"">      <data key=""d0"">Trantor</data>    </node>  </graph></graphml>"
paf2,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari&#10;Seldon"">      <data key=""d0"">HariSeldon</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin</data>    </node>    <node id=""Trantor"">      <data key=""d0"">Trantor</data>    </node>    <node id=""&#233;chouerai"">      <data key=""d0"">&#233;chouerai</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>  </graph></graphml>"
paf3,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <node id=""Trantor"">      <data key=""d0"">Trantor</data>    </node>    <node id=""Cl&#233;on"">      <data key=""d0"">Cl&#233;on</data>    </node>    <node id=""Empereur"">      <data key=""d0"">Empereur</data>    </node>    <node id=""Sire"">      <data key=""d0"">Sire</data>    </node>    <node id=""Tambourinant"">      <data key=""d0"">Tambourinant</data>    </node>    <node id=""Kan"">      <data key=""d0"">Kan</data>    </node>  </graph></graphml>"
paf4,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Lisung Randa"">      <data key=""d0"">Lisung Randa</data>    </node>    <node id=""Kiangtow Randa"">      <data key=""d0"">Kiangtow Randa</data>    </node>    <node id=""Jenarr"">      <data key=""d0"">Jenarr</data>    </node>    <node id=""Taciturne"">      <data key=""d0"">Taciturne</data>    </node>    <node id=""Trantor"">      <data key=""d0"">Trantor</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Leggen"">      <data key=""d0"">Leggen</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <node id=""Marcher"">      <data key=""d0"">Marcher</data>    </node>  </graph></graphml>"
paf5,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Controverse Leggen"">      <data key=""d0"">Controverse Leggen</data>    </node>    <node id=""Hari&#10;Seldon"">      <data key=""d0"">HariSeldon</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <node id=""Jenarr Leggen"">      <data key=""d0"">Jenarr Leggen</data>    </node>    <node id=""H&#233;liconien"">      <data key=""d0"">H&#233;liconien</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Perplexit&#233; de Benastra"">      <data key=""d0"">Perplexit&#233; de Benastra</data>    </node>    <node id=""Parfait"">      <data key=""d0"">Parfait</data>    </node>    <node id=""Inutile"">      <data key=""d0"">Inutile</data>    </node>  </graph></graphml>"
paf6,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Mycog&#232;ne"">      <data key=""d0"">Mycog&#232;ne</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel</data>    </node>    <node id=""Leggen"">      <data key=""d0"">Leggen</data>    </node>    <node id=""Primo"">      <data key=""d0"">Primo</data>    </node>    <node id=""Randa"">      <data key=""d0"">Randa</data>    </node>    <node id=""Redites"">      <data key=""d0"">Redites</data>    </node>    <node id=""Hestelonia"">      <data key=""d0"">Hestelonia</data>    </node>    <node id=""Kan"">      <data key=""d0"">Kan</data>    </node>    <node id=""Ziggoreth"">      <data key=""d0"">Ziggoreth</data>    </node>    <node id=""Damiano Nord"">      <data key=""d0"">Damiano Nord</data>    </node>    <node id=""Cl&#233;on"">      <data key=""d0"">Cl&#233;on</data>    </node>    <node id=""Trantor"">      <data key=""d0"">Trantor</data>    </node>    <node id=""Mycog&#233;niens"">      <data key=""d0"">Mycog&#233;niens</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>  </graph></graphml>"
paf7,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Secteur de"">      <data key=""d0"">Secteur de</data>    </node>    <node id=""Mycog&#232;ne"">      <data key=""d0"">Mycog&#232;ne</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Endor Levanian"">      <data key=""d0"">Endor Levanian</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <node id=""Mycog&#233;nien"">      <data key=""d0"">Mycog&#233;nien</data>    </node>    <node id=""&#201;galitaire"">      <data key=""d0"">&#201;galitaire</data>    </node>    <node id=""Fr&#232;re"">      <data key=""d0"">Fr&#232;re</data>    </node>    <node id=""Mycog&#233;niens"">      <data key=""d0"">Mycog&#233;niens</data>    </node>    <node id=""Grisnuage"">      <data key=""d0"">Grisnuage</data>    </node>  </graph></graphml>"
paf8,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Mycog&#232;ne"">      <data key=""d0"">Mycog&#232;ne</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Grisnuage"">      <data key=""d0"">Grisnuage</data>    </node>    <node id=""Mycog&#233;niens"">      <data key=""d0"">Mycog&#233;niens</data>    </node>    <node id=""Humanique"">      <data key=""d0"">Humanique</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin</data>    </node>    <node id=""Lois"">      <data key=""d0"">Lois</data>    </node>    <node id=""Balivernes"">      <data key=""d0"">Balivernes</data>    </node>    <node id=""Fr&#232;re"">      <data key=""d0"">Fr&#232;re</data>    </node>  </graph></graphml>"
paf9,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon</data>    </node>    <node id=""Fr&#232;re"">      <data key=""d0"">Fr&#232;re</data>    </node>    <node id=""Mycog&#232;ne"">      <data key=""d0"">Mycog&#232;ne</data>    </node>    <node id=""H&#233;liconien"">      <data key=""d0"">H&#233;liconien</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili</data>    </node>    <node id=""Mycog&#233;niens"">      <data key=""d0"">Mycog&#233;niens</data>    </node>  </graph></graphml>"
