relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Bayta - Le Mulet,5.0,2.0,0.0,7.0,7.0,71.42857142857143,28.57142857142857,0.0
Onum Barr - Lathan Devers,5.0,1.0,0.0,6.0,6.0,83.33333333333334,16.666666666666664,0.0
Bel Riose - Onum Barr,2.0,1.0,2.0,5.0,5.0,40.0,20.0,40.0
Bayta - Han Pritcher,4.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0
Randu - Mangin,4.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0
Hari Seldon - Daluden IV,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Onum Barr - Le Marchand,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Bel Riose - Siwenna,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Bel Riose - Luk,1.0,0.0,1.0,2.0,2.0,50.0,0.0,50.0
Bel Riose - Cléon II,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Hari Seldon - Indbur,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Bayta - Indbur,1.0,0.0,1.0,2.0,2.0,50.0,0.0,50.0
Onum Barr - Hari Seldon,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Onum Barr - Forell,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Onum Barr - Luk,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Siwenna - Daluden IV,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Randu - Le Mulet,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Randu - Fran,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Magnifiée - Jord Commason,0.0,2.0,0.0,2.0,2.0,0.0,100.0,0.0
Lathan Devers - Luk,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Le Mulet - Inchney,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Hari Seldon - Bayta,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Hari Seldon - Le Mulet,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Onum Barr - Psychohistorique,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ducem Barr - Onum Barr,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Loris VI,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ducem Barr - Siwenna,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ducem Barr - Cléon II,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Salvor Hardin,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Hari Seldon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Forell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Patricien,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Siwennien,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Ducem Barr,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Lathan Devers,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Bel Riose - Le Marchand,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Onum Barr - Siwenna,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Le Marchand - Bayta,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Marchand - Fran,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Le Marchand - Cléon II,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Seigneurs,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Marchands,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Hari Seldon - Randu,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
