relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Trevize - Janov Pelorat,17.0,11.0,1.0,29.0,29.0,58.620689655172406,37.93103448275862,3.4482758620689653
Trevize - Gaïa,12.0,5.0,0.0,17.0,17.0,70.58823529411765,29.411764705882355,0.0
Janov Pelorat - Gaïa,3.0,4.0,0.0,7.0,7.0,42.857142857142854,57.14285714285714,0.0
Stor Gendibal - Delora Delarmi,6.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0
Janov Pelorat - Jan ou Pel,2.0,2.0,1.0,5.0,5.0,40.0,40.0,20.0
Quindor Shandess - Stor Gendibal,3.0,1.0,0.0,4.0,4.0,75.0,25.0,0.0
Harlan Branno - Liono Kodell,3.0,1.0,0.0,4.0,4.0,75.0,25.0,0.0
Orateur Gendibal - Orateur Cheng,4.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0
Liono Kodell - Thoobing,2.0,1.0,0.0,3.0,3.0,66.66666666666666,33.33333333333333,0.0
Trevize - Harlan Branno,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Trevize - Liono Kodell,1.0,2.0,0.0,3.0,3.0,33.33333333333333,66.66666666666666,0.0
Stor Gendibal - Maître Cherchieur,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Stor Gendibal - Preem Palver,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Hari Seldon - Liono Kodell,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Harlan Branno - Stor Gendibal,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Le Mulet - Gaïa,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Harlan Branno - Gaïa,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Janov Pelorat - Dom,1.0,2.0,0.0,3.0,3.0,33.33333333333333,66.66666666666666,0.0
Liono Kodell - Gaïa,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Janov Pelorat - Abruptement,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Gaïa - Professeur Quintesetz,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Orateur Cheng - Premier Orateur,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Quindor Shandess - Delora Delarmi,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Janov Pelorat - Orateur Cheng,0.0,2.0,0.0,2.0,2.0,0.0,100.0,0.0
Le Mulet - Janov Pelorat,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Rufirant - Sura Novi,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Stor Gendibal - Oratrice Delarmi,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Stor Gendibal - Rufirant,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Stor Gendibal - Orateur Cheng,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Orateur Gendibal - Delora Delarmi,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Harlan Branno - Trantor,0.0,1.0,1.0,2.0,2.0,0.0,50.0,50.0
Trevize - Bel Riose,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize - Hari Seldon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize - Evander Sopellor,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize - Stor Gendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
