relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Gaal Dornick - Hari Seldon,11.0,1.0,1.0,13.0,13.0,84.61538461538461,7.6923076923076925,7.6923076923076925
Salvor Hardin - Anacréon,10.0,1.0,1.0,12.0,12.0,83.33333333333334,8.333333333333332,8.333333333333332
Salvor Hardin - Pirenne toussota,4.0,4.0,0.0,8.0,8.0,50.0,50.0,0.0
Anacréon - Pirenne toussota,3.0,2.0,0.0,5.0,5.0,60.0,40.0,0.0
Hari Seldon - Salvor Hardin,2.0,2.0,0.0,4.0,4.0,50.0,50.0,0.0
Hari Seldon - Anacréon,2.0,1.0,0.0,3.0,3.0,66.66666666666666,33.33333333333333,0.0
Hari Seldon - Trantor,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Salvor Hardin - Dorwin,2.0,1.0,0.0,3.0,3.0,66.66666666666666,33.33333333333333,0.0
Salvor Hardin - Wienis,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Anacréon - Haut Rodric,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Gaal Dornick - Linge Chen,2.0,0.0,1.0,3.0,3.0,66.66666666666666,0.0,33.33333333333333
Pirenne toussota - Haut Rodric,2.0,1.0,0.0,3.0,3.0,66.66666666666666,33.33333333333333,0.0
Anacréon - Lepold Ier,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Le Marchand - Jaim Twer,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Gaal Dornick - Avakim,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Salvor Hardin - Poly Verisof,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Salvor Hardin - Le roi,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Salvor Hardin - Lepold Ier,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Salvor Hardin - Sef Sermak,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Yohan Lee - Sef Sermak,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Pirenne toussota - Lundin Crast,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Anacréon - Wienis,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Hari Seldon - Linge Chen,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Salvor Hardin - Haut Rodric,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Salvor Hardin - Jord Fara,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Hari Seldon - Jord Fara,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Gaal Dornick - Trantor,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Jorane Sutt - Jaim Twer,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Anacréon - Sef Sermak,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Hober Mallow - Jaim Twer,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Terminus - Sef Sermak,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trantor - Avakim,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Terminus - Yohan Lee,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Encyclopédistes - Terminus,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Terminus - Salvor Hardin,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Premier Théorème,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaal Dornick - Jerril,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Hari Seldon - Pirenne toussota,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Haut Rodric,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Lepold Ier,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Publis Manlio,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Hari Seldon - Yohan Lee,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Hari Seldon - Poly Verisof,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Salvor Hardin - Lem Tarki,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
