relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Bayta Darell - Pelleas Anthor,9.0,0.0,1.0,10.0,10.0,90.0,0.0,10.0
Bayta Darell - Homir Munn,4.0,1.0,1.0,6.0,6.0,66.66666666666666,16.666666666666664,16.666666666666664
Le Mulet - Homir Munn,5.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0
Le Mulet - Monsieur,3.0,1.0,0.0,4.0,4.0,75.0,25.0,0.0
Bail Channis - Rossem,0.0,0.0,3.0,3.0,3.0,0.0,0.0,100.0
Le Mulet - Rossem,0.0,0.0,3.0,3.0,3.0,0.0,0.0,100.0
Le Mulet - Bail Channis,0.0,1.0,1.0,2.0,2.0,0.0,50.0,50.0
Preem Palver - Turbor,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Homir Munn - Marchand,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Han Pritcher - Monsieur,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Han Pritcher - Bail Channis,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Le Mulet - Hari Seldon,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Pelleas Anthor - Kleise,0.0,2.0,0.0,2.0,2.0,0.0,100.0,0.0
Pelleas Anthor - Homir Munn,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Preem Palver - Arcadia Darell,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Pelleas Anthor - Turbor,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Monsieur - Pelleas Anthor,0.0,2.0,0.0,2.0,2.0,0.0,100.0,0.0
Le Mulet - Tazenda,1.0,0.0,1.0,2.0,2.0,50.0,0.0,50.0
Le Mulet - Huxlani,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Han Pritcher,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Premier Citoyen - Thallos,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Premier Citoyen - Seigneur de Kalgan,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Seigneur de Kalgan - Lev Meirus,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Seigneur de Kalgan - Homir Munn,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Seigneur de Kalgan - Bayta Darell,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Monsieur - Le Mulet soupira,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Monsieur - Bail Channis,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Seigneur de Kalgan - Pelleas Anthor,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Le Mulet - Dame Callia,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Premier Citoyen,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Cil,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Hari Seldon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Tazenda,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Premier Citoyen - Rossem,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Le Mulet - Extirper,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Charnus,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trantor - Papa,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trantor - Homir Munn,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Bayta Darell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Turbor,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Mallow,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Homir Munn,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hari Seldon - Orateur,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Monsieur - Toran Darell,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Bayta Darell - Turbor,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Bayta Darell - Preem Palver,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Bayta Darell - Kleise,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Bayta Darell - Zoranel,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Pelleas Anthor - Anacréon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Arkady Darell - Pelleas Anthor,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Arkady Darell - Bayta Darell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Tazenda - Rossem,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Elvett Semic - Homir Munn,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Pelleas Anthor - Elvett Semic,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Pelleas Anthor - Toran Darell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Homir Munn - Kleise,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Homir Munn - Dame Callia,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Homir Munn - Lev Meirus,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Homir Munn - Ronflait,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Homir Munn - Madame,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Seigneur Stettin - Dame Callia,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
