relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Trevize manouvra - Janov Pelorat,8.0,8.0,3.0,19.0,19.0,42.10526315789473,42.10526315789473,15.789473684210526
Ni Pelorat - Trevize manouvra,8.0,4.0,1.0,13.0,13.0,61.53846153846154,30.76923076923077,7.6923076923076925
Gaïa - Trevize manouvra,4.0,3.0,1.0,8.0,8.0,50.0,37.5,12.5
Ni Pelorat - Janov Pelorat,4.0,2.0,0.0,6.0,6.0,66.66666666666666,33.33333333333333,0.0
Ni Pelorat - Maître Bander,4.0,1.0,1.0,6.0,6.0,66.66666666666666,16.666666666666664,16.666666666666664
Gaïa - Pel chou,1.0,0.0,4.0,5.0,5.0,20.0,0.0,80.0
Trevize manouvra - Hiroko,2.0,2.0,0.0,4.0,4.0,50.0,50.0,0.0
Trevize manouvra - Maître Fallom,0.0,3.0,1.0,4.0,4.0,0.0,75.0,25.0
Trevize manouvra - Maître Bander,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0
Ni Pelorat - Pel chou,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Trevize manouvra - Comporellon,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Gaïa - Daneel Olivaw,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Gaïa - Joie,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Ni Pelorat - Hiroko,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Pel chou - Jemby,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Pel chou - Maître Bander,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Trevize manouvra - Mitza Lizalor,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Trevize manouvra - Alpha,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Joie - Maître Fallom,1.0,0.0,1.0,2.0,2.0,50.0,0.0,50.0
Joie - Maître Bander,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Janov Pelorat - Comporellon,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Janov Pelorat - Maître Bander,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Trevize manouvra - Joie,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Trevize manouvra - Hari Seldon,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Trevize manouvra - Melpomenia,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Trevize manouvra - Pel chou,0.0,1.0,1.0,2.0,2.0,0.0,50.0,50.0
Trevize manouvra - Vasil Deniador,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Ni Pelorat - Alpha,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Gaïa - Comporellon,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Maître Bander - Maître Fallom,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Comporellon - Mitza Lizalor,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Maître Bander - Jemby,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Maître Fallom - Jemby,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Mitza Lizalor - Vasil Deniador,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Jemby - Daneel Olivaw,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0
Comporellon - Vasil Deniador,1.0,1.0,0.0,2.0,2.0,50.0,50.0,0.0
Trevize manouvra - Kendray,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Ni Pelorat - Maître Fallom,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Sapristi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Vasil Deniador,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Munn Li Compor,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Gaïa - Ni Pelorat,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Gaïa - Commençait,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Alpha,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Dom - Trevize manouvra,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Comporellon,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Gaïa - Janov Pelorat,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Daneel Olivaw,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Melpomenia,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Considérez,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Superbe,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Hari Seldon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ni Pelorat - Joie,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Fili,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Hmmmm,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Jemby,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Bel Riose,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Salutations,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Négligemment,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Châtie,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Guetter,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Trevize manouvra - Le Mulet,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Bêtises,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Joie - Comporellon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Melpomenia,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Janov Pelorat - Hiroko,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Kendray,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0
Trevize manouvra - Daneel Olivaw,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Janov Pelorat - Touché,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Janov Pelorat - Pel chou,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize manouvra - Considérez,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Pel chou - Maître Fallom,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Pel chou - Trev,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0
Comporellon - Elijah Baley,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Comporellon - Munn Li Compor,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Pel chou - Kendray,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Joie - Hiroko,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Joie - Daneel Olivaw,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Mitza Lizalor - Alpha,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Mitza Lizalor - Châtie,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Comporellon - Hiroko,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Comporellon - Melpomenia,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Sarton Bander - Maître Bander,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Châtie - Vasil Deniador,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Maître Bander - Redoutablement,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Mitza Lizalor - Hiroko,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Maître Fallom - Hiroko,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Maître Fallom - Daneel Olivaw,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jemby - Hmmmm,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jemby - Hiroko,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hiroko - Sieur Golan Trevize,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hiroko - Fili,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hiroko - Alphan,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Alphanes - Laisser Fallom,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
